compound_id	pert_id	smiles	SAFE
nifurtimox	BRD-A00100033	CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1	CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1
hemado	BRD-A00267231	CCCCC#Cc1nc(NC)c2ncn(C3OC(CO)C(O)C3O)c2n1	CCCCC#Cc1nc4c2ncn6c2n1.C16OC5C(O)C1O.N4C.C5O
AF-DX-116	BRD-A00520476	CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21	N13c2ccccc2C(=O)Nc2cccnc21.C18CCCCN17.C7C3=O.N456.CC4.C5C.C68
noretynodrel	BRD-A00758722	C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C	C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C
alprenolol	BRD-A00993607	C=CCc1ccccc1OCC(O)CNC(C)C	c16ccccc13.C2C(O)C4.C=CC6.C5(C)C.O23.N45
zebularine	BRD-A01145011	O=c1ncccn1C1OC(CO)C(O)C1O	C13OC2C(O)C1O.O=c1ncccn13.C2O
7-hydroxy-PIPAT	BRD-A01295252	CCCN(CC=CI)C1CCc2ccc(O)cc2C1	C15CCc2ccc(O)cc2C1.C4C=CI.CCC3.N345
7,8-dihydro-L-biopterin	BRD-A01317026	CC(O)C(O)C1=Nc2c(nc(N)[nH]c2=O)NC1	CC(O)C(O)C1=Nc2c(nc(N)[nH]c2=O)NC1
salmeterol	BRD-A01320529	OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O	c17cc8ccc1O.C6CCCCC3.c19ccccc1.C4CCC9.C8(O)C5.OC7.N56.O34
flumetasone	BRD-A01346607	CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C15O.C5(=O)CO
chlormadinone-acetate	BRD-A01593789	CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21C	C167CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21C.CC5=O.C7(C)=O.O56
prednisolone-acetate	BRD-A01643550	CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C	C17(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C.C6C7=O.CC5=O.O56
naftopidil	BRD-A01787639	COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1	c16cccc2ccccc12.c15ccccc18.N18CCN7CC1.C7C(O)C4.CO5.O46
xanthinol	BRD-A01826957	CN(CCO)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C	n15cnc2c1c(=O)n(C)c(=O)n2C.C4C(O)C5.CN34.C3CO
tubaic-acid	BRD-A02176148	C=C(C)C1Cc2c(ccc(C(=O)O)c2O)O1	C=C(C)C1Cc2c(ccc3c2O)O1.C3(=O)O
betamethasone	BRD-A02180903	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C15O.C5(=O)CO
met-leu-phe	BRD-A02189320	CSCCC(N)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O	C4(CC(C)C)C3=O.C6CC(N)C2=O.C5(C7)C(=O)O.c17ccccc1.CS6.N24.N35
cyclopamine	BRD-A02333338	CC1=C2CC3C(CC=C4CC(O)CCC43C)C2CCC12OC1CC(C)CNC1C2C	CC1=C2CC3C(CC=C4CC(O)CCC43C)C2CCC12OC1CC(C)CNC1C2C
ethinyl-estradiol	BRD-A02367930	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
importazole	BRD-A02481876	CC(Nc1nc(N2CCCC2)nc2ccccc12)c1ccccc1	c14nc5nc2ccccc12.c16ccccc1.N15CCCC1.CC36.N34
meptazinol	BRD-A02710418	CCC1(c2cccc(O)c2)CCCCN(C)C1	C134CCCCN(C)C1.c14cccc(O)c1.CC3
dihydrodeoxygedunin	BRD-A02713983	CC(=O)OC1CC2C(C)(C)C(=O)CCC2(C)C2CCC3(C)C(=CC(=O)OC3c3ccoc3)C12C	C15CC2C(C)(C)C(=O)CCC2(C)C2CCC3(C)C(=CC(=O)OC36)C12C.c16ccoc1.CC4=O.O45
betaxolol	BRD-A02759312	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	c16ccc%10cc1.C8C(O)C3.CC7C.C%10C4.C19CC1.N78.O36.O45.C59
lofexidine	BRD-A02990301	CC(Oc1c(Cl)cccc1Cl)C1=NCCN1	c13c(Cl)cccc1Cl.CC2C1=NCCN1.O23
mepivacaine	BRD-A03216249	Cc1cccc(C)c1NC(=O)C1CCCCN1C	Cc1cccc(C)c13.C14CCCCN1C.C24=O.N23
ICI-89406	BRD-A03359064	N#Cc1ccccc1OCC(O)CNCCNC(=O)Nc1ccccc1	N#Cc1ccccc15.c19ccccc1.C4C(O)C6.C7C8.C23=O.O45.N67.N28.N39
metoprolol	BRD-A03623303	COCCc1ccc(OCC(O)CNC(C)C)cc1	c17ccc4cc1.C3C(O)C5.C2C7.C6(C)C.CO2.O34.N56
CP-55940	BRD-A03816571	CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1	CCCCCCC4(C)C.c14ccc5c(O)c1.C15CC(O)CCC13.C3CCO
genipin	BRD-A04308630	COC(=O)C1=COC(O)C2C(CO)=CCC12	C3(=O)C1=COC(O)C2C(CO)=CCC12.CO3
synephrine	BRD-A04327189	CNCC(O)c1ccc(O)cc1	c13ccc(O)cc1.C2C3O.CN2
maraviroc	BRD-A04352665	Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1	C19CC2CCC(C1)N24.C16CCC(F)(F)CC1.Cc1nnc7n19.c18ccccc1.C4CC58.C7(C)C.C36=O.N35
chlorphenamine	BRD-A04553218	CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1	c14ccc(Cl)cc1.c13ccccn1.C2CC34.CN2C
CGP-52432	BRD-A04668240	CCOC(OCC)P(=O)(O)CCCNCc1ccc(Cl)c(Cl)c1	O2C(O3)P(=O)(O)CCC4.c16ccc(Cl)c(Cl)c1.CC2.C3C.N45.C56
bucladesine	BRD-A04706586	CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1OC(=O)CCC	C17OC2COP(=O)(O)OC2C15.c16ncnc2c1ncn27.CCCC4=O.C3(=O)CCC.N46.O35
norgestimate	BRD-A04756508	C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC	C#CC16CCC2C3CCC4=CC(=NO)CCC4C3CCC217.C5(C)=O.O56.C7C
bupropion	BRD-A05186015	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1	c14cccc(Cl)c1.CC2C4=O.C3(C)(C)C.N23
ipratropium	BRD-A05352148	CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	[N+]15(C)C2CCC1CC4C2.C3(=O)C6CO.c16ccccc1.CC5C.O34
terfenadine	BRD-A06352418	CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1	c16ccc7cc1.N14CCC5CC1.C7(O)CCC4.c18ccccc1.c19ccccc1.CC6(C)C.C589O
SB-218078	BRD-A06352508	O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1	O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1
hydroquinidine	BRD-A06390036	CCC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12	c16ccnc2ccc3cc12.C15CN2CCC1CC24.C46O.CC5.O3C
dibutyrylcyclic-gmp	BRD-A06726973	CCCC(=O)Nc1nc2c(ncn2C2OC3COP(=O)(O)OC3C2OC(=O)CCC)c(=O)[nH]1	C18OC2COP(=O)(O)OC2C16.c17nc2c(ncn28)c(=O)[nH]1.CCCC5=O.C4(=O)CCC.N57.O46
MRS-1334	BRD-A06784547	CCOC(=O)C1=C(C)NC(c2ccccc2)=C(C(=O)OCc2ccc([N+](=O)[O-])cc2)C1C#Cc1ccccc1	C3(=O)C1=C(C)NC(c2ccccc2)=C(C4=O)C1C#Cc1ccccc1.c17ccc([N+](=O)[O-])cc1.CC5.O35.O46.C67
hydrocortisone-hemisuccinate	BRD-A07000685	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC25O.C3(=O)CCC(=O)O.C5(=O)C4.O34
esmolol	BRD-A07395371	COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1	c17ccc4cc1.C2(=O)CC7.C3C(O)C5.C6(C)C.CO2.O34.N56
labetalol	BRD-A07440155	CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1	c16ccc(O)c4c1.c15ccccc1.CC2CC5.C3C6O.C4(N)=O.N23
epinephrine-(racemic)	BRD-A07765530	CNCC(O)c1ccc(O)c(O)c1	c13ccc(O)c(O)c1.C2C3O.CN2
orciprenaline	BRD-A07780951	CC(C)NCC(O)c1cc(O)cc(O)c1	c14cc(O)cc(O)c1.C3C4O.CC2C.N23
flavanone	BRD-A07824748	O=C1CC(c2ccccc2)Oc2ccccc21	O=C1CC3Oc2ccccc21.c13ccccc1
cilnidipine	BRD-A07875874	COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1	C3(=O)C1=C(C)NC(C)=C(C4=O)C19.c19cccc([N+](=O)[O-])c1.C=8c1ccccc1.C5C6.C7C=8.CO5.O36.O47
rhodomyrtoxin-b	BRD-A08003242	CCC(C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)C(C)CC)c(O)c3c2c1O	c14c(O)c(C)c2oc3c(C)c(O)c5c(O)c3c2c1O.CCC(C)C4=O.C5(=O)C(C)CC
racecadotril	BRD-A08187463	CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1	C6C(C7)C3=O.c17ccccc1.c18ccccc1.CC(=O)S6.C5C2=O.N35.O24.C48
heliotrine	BRD-A08709697	COC(C)C(O)(C(=O)OCC1=CCN2CCC(O)C12)C(C)C	C4(C)C(O)(C3=O)C(C)C.C5C1=CCN2CCC(O)C12.CO4.O35
cephalotaxine	BRD-A08877921	COC1=CC23CCCN2CCc2cc4c(cc2C3C1O)OCO4	COC1=CC23CCCN2CCc2cc4c(cc2C3C1O)OCO4
alfuzosin	BRD-A09056319	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	c15cc2nc9nc(N)c2cc16.C1%10CCCO1.C7CC8.N79C.C4%10=O.CO5.N48.O6C
amyleine	BRD-A09062839	CCC(C)(CN(C)C)OC(=O)c1ccccc1	CCC3(C)C4.c15ccccc1.N4(C)C.C25=O.O23
strychnine	BRD-A09094913	O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46	O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46
nomilin	BRD-A09161221	CC(=O)OC1CC(=O)OC(C)(C)C2CC(=O)C3(C)C(CCC4(C)C(c5ccoc5)OC(=O)C5OC543)C12C	C17CC(=O)OC(C)(C)C2CC(=O)C3(C)C(CCC4(C)C8OC(=O)C5OC543)C12C.c18ccoc1.CC6=O.O67
mebeverine	BRD-A09467419	CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1	c1%11ccc5c6c1.c13ccc7cc1.C9CCC4.C%10(C)C3.N89%10.C2%11=O.CC8.O24.O5C.O6C.O7C
flecainide	BRD-A09472452	O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F	c18cc5ccc16.C19CCCCN1.C3C(F)(F)F.C4C(F)(F)F.O=C28.N27.C79.O35.O46
bicuculline	BRD-A09495397	CN1CCc2cc3c(cc2C1C1OC(=O)c2c1ccc1c2OCO1)OCO3	CN1CCc2cc3c(cc2C1C1OC(=O)c2c1ccc1c2OCO1)OCO3
verapamil	BRD-A09533288	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	C8CCC%10(C#N)C(C)C.c13ccc9cc16.c1%10ccc4c5c1.C9C7.N78C.CO3.O4C.O5C.O6C
homatropine	BRD-A09539288	CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2	CN1C2CCC1CC4C2.c15ccccc1.C3(=O)C5O.O34
cyclophosphamide	BRD-A09722536	O=P1(N(CCCl)CCCl)NCCCO1	O=P1(N(CCCl)CCCl)NCCCO1
SKF-81297	BRD-A09828896	Oc1cc2c(c(Cl)c1O)CCNCC2c1ccccc1	Oc1cc2c(c(Cl)c1O)CCNCC2c1ccccc1
etilefrine	BRD-A09925278	CCNCC(O)c1cccc(O)c1	c14cccc(O)c1.C3C4O.CC2.N23
propranolol	BRD-A10070317	CC(C)NCC(O)COc1cccc2ccccc12	c14cccc2ccccc12.C6C(O)C3.CC5C.N56.O34
talampicillin	BRD-A10303790	CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)OC1OC(=O)c2ccccc21	CC1(C)SC2C6C(=O)N2C17.O4C1OC(=O)c2ccccc21.c18ccccc1.C5(=O)C8N.C47=O.N56
norketamine	BRD-A10355991	NC1(c2ccccc2Cl)CCCCC1=O	NC13CCCCC1=O.c13ccccc1Cl
cyclopiazonic-acid	BRD-A10420615	CC(=O)C1C(=O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O	C16C(=O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O.CC6=O
GSK-429286A	BRD-A10523515	CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1	CC1=C(C4=O)C7CC(=O)N1.c15cc2cn[nH]c2cc1F.c17ccc6cc1.C6(F)(F)F.N45
sulpiride	BRD-A10715913	CCN1CCC(CNC(=O)c2cc(S(N)(=O)=O)ccc2OC)C1	c17cc(S(N)(=O)=O)ccc14.N15CCC8C1.C37=O.CC5.C68.N36.O4C
imiloxan	BRD-A10903566	CCn1ccnc1CC1COc2ccccc2O1	C14COc2ccccc2O1.n13ccnc15.CC3.C45
ambelline	BRD-A10969569	COc1c2c(cc3c1OCO3)C13C=CC(OC)CC1N(C2)CC3O	c15c2c(cc3c1OCO3)C13C=CC4CC1N(C2)CC3O.CO5.O4C
carvedilol	BRD-A10977446	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12	c18cccc2[nH]c3ccccc3c12.c16ccccc17.C%10C(O)C5.C4C9.CO6.O47.N9%10.O58
BCI-hydrochloride	BRD-A11007541	O=C1C(=Cc2ccccc2)C(NC2CCCCC2)c2ccccc21	O=C1C=4C(N3)c2ccccc21.C=4c1ccccc1.C13CCCCC1
nor-binaltorphimine	BRD-A11135865	Oc1ccc2c3c1OC1c4[nH]c5c(c4CC4(O)C(C2)N(CC2CC2)CCC314)CC1(O)C2Cc3ccc(O)c4c3C1(CCN2CC1CC1)C5O4	Oc1ccc2c3c1OC1c4[nH]c5c(c4CC4(O)C(C2)N6CCC314)CC1(O)C2Cc3ccc(O)c4c3C1(CCN27)C5O4.C18CC1.C19CC1.C68.C79
thiocolchicoside	BRD-A11605036	COc1c(OC2OC(CO)C(O)C(O)C2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2	c15c6cc2c(c17)-c1ccc9c(=O)cc1C(N3)CC2.C14OC8C(O)C(O)C1O.C3(C)=O.CO5.O46.C8O.O7C.S9C
wortmannin	BRD-A11678676	COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O	C17OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC16.C4(C)=O.CO5.C57.O46
chromomycin-a3	BRD-A11702965	COC(C(=O)C(O)C(C)O)C1Cc2cc3cc(OC4CC(OC5CC(O)C(OC)C(C)O5)C(OC(C)=O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)C1OC1CC(OC2CC(OC3CC(C)(O)C(C)C(C)O3)C(O)C(C)O2)C(O)C(C)O1	C1%12Cc2cc3cc%11c(C)c(O)c3c(O)c2C(=O)C18.C1%18CC(C)(O)C(C)C(C)O1.C%13%12C(=O)C(O)C(C)O.C1%14CC%19C7C(C)O1.C1%15CC(O)C%20C(C)O1.C1%16CC9C(O)C(C)O1.C1%17CC%10C(O)C(C)O1.C6(C)=O.CO%13.O%14%11.O%15%19.O%20C.O67.O%168.O%179.O%18%10
AM-92016	BRD-A11813248	CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1	c18ccc(Cl)c(Cl)c1.c13ccc7cc1.C5C(O)C2.S6(C)(=O)=O.CN45.C4C8.O23.N67
lorazepam	BRD-A11990600	O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O	O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
LY-278584	BRD-A12016240	CN1C2CCC1CC(NC(=O)c1nn(C)c3ccccc13)C2	c16nn(C)c2ccccc12.CN1C2CCC1CC5C2.C46=O.N45
nitrendipine	BRD-A12560204	CCOC(=O)C1C(C)=NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1	C15C(C)=NC(C)=C(C3=O)C16.c16cccc([N+](=O)[O-])c1.C25=O.CC4.O24.O3C
troglitazone	BRD-A13084692	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2	Cc1c(C)c2c(c(C)c1O)CCC6(C)O2.c15ccc8cc1.C17SC(=O)NC1=O.C46.O45.C78
triptolide	BRD-A13122391	CC(C)C12OC1C1OC13C1(C)CCC4=C(COC4=O)C1CC1OC13C2O	C125OC1C1OC13C1(C)CCC4=C(COC4=O)C1CC1OC13C2O.CC5C
fluorometholone	BRD-A13133631	CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C	C15(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C.CC5=O
doxazosin	BRD-A13188892	COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC	c17cc2nc9nc(N)c2cc18.C1%10COc2ccccc2O1.N19CCN6CC1.C6%10=O.CO7.O8C
flucloxacillin	BRD-A13650332	Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O	C14C(=O)N2C1SC(C)(C)C25.c17c(F)cccc1Cl.Cc1onc7c16.C36=O.C5(=O)O.N34
HA-14-1	BRD-A13807286	CCOC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OCC	C3(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C4=O.CC5.O35.O46.C6C
sulindac	BRD-A13946108	CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1	CC1=C(CC(=O)O)c2cc(F)ccc2C1=3.C=3c1ccc(S(C)=O)cc1
oxyphenonium	BRD-A14208071	CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1	C2(=O)C78O.c18ccccc1.C17CCCCC1.[N+]456C.C6C3.CC4.C5C.O23
mesoridazine	BRD-A14395271	CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21	N13c2ccccc2Sc2ccc(S(C)=O)cc21.CN1CCCCC14.C4C3
UB-165	BRD-A14574269	Clc1ccc(C2=CCCC3CCC2N3)cn1	Clc1ccc(C2=CCCC3CCC2N3)cn1
mestranol	BRD-A14798026	C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C	C#CC1(O)CCC2C3CCc4cc5ccc4C3CCC21C.O5C
alaproclate	BRD-A14966924	CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1	c14ccc(Cl)cc1.CC(N)C2=O.C3(C)(C)C4.O23
L-ascorbyl-6-palmitate	BRD-A14985772	CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(=O)C1O	CCCCCCCCCCCCCCCC2=O.C14OC(=O)C(=O)C1O.C3C4O.O23
HU-211	BRD-A15010982	CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CC=C(CO)CC21	c13cc(O)c2c(c1)OC(C)(C)C1CC=C(CO)CC21.CCCCCCC3(C)C
bergenin	BRD-A15034104	COc1c(O)cc2c(c1O)C1OC(CO)C(O)C(O)C1OC2=O	c13c(O)cc2c(c1O)C1OC4C(O)C(O)C1OC2=O.CO3.C4O
phorbol-12-myristate-13-acetate	BRD-A15079084	CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(C)=O	C16C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C127.CCCCCCCCCCCCCC4=O.C5(C)=O.O46.O57
benazepril	BRD-A15131297	CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O	C16CCc2ccccc2N(CC(=O)O)C1=O.C3(=O)C5CC7.c17ccccc1.CC4.O34.N56
fluocinolone-acetonide	BRD-A15297126	CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C	C127OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C.C6C7=O.CC5=O.O56
GW-1929	BRD-A15415227	CN(CCOc1ccc(CC(Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1	c14ccc%11cc1.c18ccccc19.C%11C6C(=O)O.c1%10ccccc1.c17ccccn1.CN57.C5C3.C9%10=O.O34.N68
BMY-14802	BRD-A15435692	OC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1	N13CCN4CC1.c14ncc(F)cn1.c15ccc(F)cc1.OC5CCC3
tetracycline	BRD-A15493168	CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3CC21	CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C5C(=O)C4C3CC21.C5(N)=O.N4(C)C
SDZ-21009	BRD-A15530910	CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1	c19cc2c6cccc2[nH]1.C5C(O)C7.C8(C)(C)C.CC4C.C39=O.O34.O56.N78
4-hydroxy-2-nonenal	BRD-A15914070	CCCCCC(O)C=CC=O	CCCCCC(O)C=1.C=1C=O
profenamine	BRD-A16311756	CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21	N16c2ccccc2Sc2ccccc21.C5(C)C6.N345.CC3.C4C
modafinil	BRD-A16332958	NC(=O)CS(=O)C(c1ccccc1)c1ccccc1	NC(=O)CS(=O)C23.c12ccccc1.c13ccccc1
acarbose	BRD-A16444946	CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O	C19C=C(CO)C(O)C(O)C1O.CC1OC4C(O)C(O)C18.C16C%10OC5C(O)C1O.C17C%11OC(O)C(O)C1O.O46.C%10O.O57.C%11O.N89
amcinonide	BRD-A16478930	CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C	C127OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C.C6C7=O.CC5=O.O56
butoconazole	BRD-A16665823	Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1	c16c(Cl)cccc1Cl.Clc1ccc5cc1.C5CC3C4.n14ccnc1.S36
BADGE	BRD-A16694057	CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1	c19ccc5cc1.c1%10ccc6cc1.CC9%10C.C17CO1.C18CO1.O35.C37.O46.C48
isoxsuprine	BRD-A16700644	CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1	c16ccc(O)cc1.c13ccccc1.C5(C)C6O.CC4C2.O23.N45
ampicillin	BRD-A16754160	CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O	CC1(C)SC2C5C(=O)N2C16.c17ccccc1.C4(=O)C7N.C6(=O)O.N45
nalbuphine	BRD-A16934955	Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CCC2)CCC314	Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N5CCC314.C16CCC1.C56
brefeldin-a	BRD-A17065207	CC1CCCC=CC2CC(O)CC2C(O)C=CC(=O)O1	CC1CCCC=CC2CC(O)CC2C(O)C=CC(=O)O1
carprofen	BRD-A17411484	CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12	c13ccc2c(c1)[nH]c1ccc(Cl)cc12.CC3C(=O)O
BW-723C86	BRD-A17428743	CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12	c17c[nH]c2ccc5cc12.c16cccs1.CC(N)C7.O45.C46
beclometasone	BRD-A17448384	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C15O.C5(=O)CO
MDL-72832	BRD-A17453586	O=C1CC2(CCCC2)CC(=O)N1CCCCNCC1COc2ccccc2O1	O=C1CC2(CCCC2)CC(=O)N15.C16COc2ccccc2O1.C5CCC3.N34.C46
gelsemine	BRD-A17535965	C=CC12CN(C)C3C4COC(CC41)C1(C(=O)Nc4ccccc41)C32	C=CC12CN(C)C3C4COC(CC41)C1(C(=O)Nc4ccccc41)C32
ibuprofen	BRD-A17655518	CC(C)Cc1ccc(C(C)C(=O)O)cc1	c12ccc3cc1.C3(C)C(=O)O.CC(C)C2
gedunin	BRD-A17819071	CC1(C)C=CC(=O)C2(C)C1CC(=O)C1(C)C2CCC2(C)C(c3ccoc3)OC(=O)C3OC321	CC1(C)C=CC(=O)C2(C)C1CC(=O)C1(C)C2CCC2(C)C4OC(=O)C3OC321.c14ccoc1
phensuximide	BRD-A18043272	CN1C(=O)CC(c2ccccc2)C1=O	CN1C(=O)CC3C1=O.c13ccccc1
CPCCOEt	BRD-A18202423	CCOC(=O)C12CC1C(=NO)c1ccccc1O2	C125CC1C(=NO)c1ccccc1O2.C35=O.CC4.O34
5-iodotubercidin	BRD-A18497530	Nc1ncnc2c1c(I)cn2C1OC(CO)C(O)C1O	Nc1ncnc2c1c(I)cn24.C14OC3C(O)C1O.C3O
wiskostatin	BRD-A18579359	CN(C)CC(O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21	n14c2ccc(Br)cc2c2cc(Br)ccc21.C3C(O)C4.CN3C
estriol	BRD-A18620900	CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O	CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O
