compound_id	pert_id	smiles	SAFE
I-OMe-AG-538	BRD-K35377380	COc1cc(C=C(C#N)C(=O)c2ccc(O)c(O)c2)cc(I)c1O	c13cc(C=5)cc(I)c1O.c14ccc(O)c(O)c1.C=5(C#N)C4=O.CO3
SR-59230A	BRD-K35430135	CCc1ccccc1OCC(O)CNC1CCCc2ccccc21	N5C1CCCc2ccccc21.c16ccccc14.C3C(O)C5.CC6.O34
edaravone	BRD-K35458079	CC1=NN(c2ccccc2)C(=O)C1	CC1=NN3C(=O)C1.c13ccccc1
alitretinoin	BRD-K35483542	CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O	C=3C1=C(C)CCCC1(C)C.CC=2C=3.C=4C=5C.C=5C(=O)O.C=2C=4
alrestatin	BRD-K35498378	O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O	N14C(=O)c2cccc3cccc(c23)C1=O.O=C(O)C4
molsidomine	BRD-K35531059	CCOC(=O)N=c1c[n+](N2CCOCC2)[n-]o1	C3(=O)N=c1c[n+](N2CCOCC2)[n-]o1.CC4.O34
levomepromazine	BRD-K35559145	COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2	c13ccc2c(c1)N4c1ccccc1S2.C4C(C)C5.N5(C)C.CO3
erbstatin-analog	BRD-K35573744	COC(=O)C=Cc1cc(O)ccc1O	C=3c1cc(O)ccc1O.C2(=O)C=3.CO2
SR-27897	BRD-K35629949	O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21	n17c6cc2ccccc21.c18ccccc1Cl.c15nc8cs1.O=C(O)C7.C46=O.N45
ON-01910	BRD-K35687265	COc1cc(OC)c(C=CS(=O)(=O)Cc2ccc(OC)c(NCC=O)c2)c(OC)c1	c13cc4c(C=CS(=O)(=O)C9)c6c1.c19ccc5c8c1.C7C=O.CO3.O4C.O5C.N78.O6C
darinaparsin	BRD-K35723520	C[As](C)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O	C1(=O)CCC(N)C(=O)O.C5C3C2=O.C[As](C)S5.C4C(=O)O.N13.N24
methysergide	BRD-K35941380	CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1	C17C=C2c3cccc4c3c(cn4C)CC2N(C)C1.CCC6CO.C57=O.N56
niclosamide	BRD-K35960502	O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O	c13ccc([N+](=O)[O-])cc1Cl.c14cc(Cl)ccc1O.O=C24.N23
NNC-63-0532	BRD-K36009368	COC(=O)CN1CN(c2ccccc2)C2(CCN(Cc3ccc4ccccc4c3)CC2)C1=O	N18CN7C2(CCN6CC2)C1=O.c19ccc2ccccc2c1.c17ccccc1.C5(=O)C8.CO5.C69
KU-C103885	BRD-K36153907	O=c1c2cc(C(F)(F)F)ccc2sn1-c1ccccc1	O=c1c2cc3ccc2sn14.c14ccccc1.C3(F)(F)F
WAY-170523	BRD-K36198571	Cc1cc(C)c(N(Cc2ccccc2)S(=O)(=O)c2ccc(OCCNC(=O)c3cc4ccccc4o3)cc2)c(C(=O)NO)c1	S%11(=O)(=O)c1ccc8cc1.Cc1cc%14c%12c(C)c1.c1%13cc2ccccc2o1.c16ccccc1.C%14(=O)NO.N9%11%12.C7C%10.C5%13=O.C96.O78.N5%10
AZ-10417808	BRD-K36258877	C=CCNC(=O)c1cc([N+](=O)[O-])cc2c(=O)[nH]c(Nc3ccc(Cl)c(Cl)c3)nc12	c18cc([N+](=O)[O-])cc2c(=O)[nH]c6nc12.c17ccc(Cl)c(Cl)c1.C=CC5.C48=O.N45.N67
NF-449	BRD-K36324071	O=C(Nc1cc(C(=O)Nc2ccc(S(=O)(=O)O)c(S(=O)(=O)O)c2)cc(C(=O)Nc2ccc(S(=O)(=O)O)c(S(=O)(=O)O)c2)c1)Nc1cc(C(=O)Nc2ccc(S(=O)(=O)O)c(S(=O)(=O)O)c2)cc(C(=O)Nc2ccc(S(=O)(=O)O)c(S(=O)(=O)O)c2)c1	c1%17ccc(S(=O)(=O)O)c(S(=O)(=O)O)c1.c1%18ccc(S(=O)(=O)O)c(S(=O)(=O)O)c1.c15ccc(S(=O)(=O)O)c(S(=O)(=O)O)c1.c16ccc(S(=O)(=O)O)c(S(=O)(=O)O)c1.c1%16cc7cc8c1.c14cc9cc%10c1.O=C3%11.C%127=O.C%138=O.C%149=O.C%15%10=O.N3%16.N%12%17.N%13%18.N%114.N%145.N%156
marmesin	BRD-K36377456	CC(C)(O)C1Cc2cc3ccc(=O)oc3cc2O1	C14Cc2cc3ccc(=O)oc3cc2O1.CC4(C)O
SB-206553	BRD-K36395411	Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1	Cn1ccc2cc3c(cc21)CCN34.c16cccnc1.C45=O.N56
PU-H71	BRD-K36529613	CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21	n16c7nc2c(N)ncnc21.c18cc2c(cc1I)OCO2.C5CC6.CC4C.N45.S78
doxepin	BRD-K36616567	CN(C)CCC=C1c2ccccc2COc2ccccc21	C1=4c2ccccc2COc2ccccc21.C3CC=4.CN3C
tamibarotene	BRD-K36627727	CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21	CC1(C)CCC(C)(C)c2cc5ccc21.c16ccc7cc1.C46=O.C7(=O)O.N45
anabasine	BRD-K36638830	c1cncc(C2CCCCN2)c1	c1cncc3c1.C13CCCCN1
AG-957	BRD-K36737713	COC(=O)c1ccc(NCc2cc(O)ccc2O)cc1	c17cc(O)ccc1O.c16ccc5cc1.C36=O.CO3.N45.C47
GSK-1070916	BRD-K36740062	CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1	c1%13ccnc2[nH]c%11cc12.n19cc%13c%12n1.c1%11cccc%10c1.c1%12ccc8cc1.N7(C)C.C56=O.N6(C)C.CC9.C7%10.N58
hydroflumethiazide	BRD-K36862742	NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O	NS(=O)(=O)c1cc2c(cc13)NCNS2(=O)=O.C3(F)(F)F
BD-1047	BRD-K36864847	CN(C)CCN(C)CCc1ccc(Cl)c(Cl)c1	c15ccc(Cl)c(Cl)c1.CN2C.C2C3.N34C.C4C5
glibenclamide	BRD-K36927236	COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1	c1%11ccc(S8(=O)=O)cc1.c16ccc(Cl)cc1%10.C19CCCCC1.C3%10=O.C7C%11.C45=O.CO6.N37.N48.N59
m-chlorophenylbiguanide	BRD-K36965586	N=C(N)NC(=N)Nc1cccc(Cl)c1	N=C(N)NC(=N)N2.c12cccc(Cl)c1
isoreserpine	BRD-K37080523	COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC	C1%15C%10C9CC2CN3CCc4c([nH]c5cc%11ccc45)C3CC21.c17cc%12c%13c%14c1.C6%15=O.C87=O.CO6.O%11C.O89.O%12C.O%13C.O%14C.O%10C
rivaroxaban	BRD-K37130656	O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1	C17CN8C(=O)O1.c18ccc9cc1.N19CCOCC1=O.c16ccc(Cl)s1.O=C46.N45.C57
III606050	BRD-K37194137	COC1OC(CO)C(OC(=O)Nc2ccccc2)C(OC(=O)Nc2ccccc2-c2ccccc2)C1OC(=O)Nc1ccccc1-c1ccccc1	C1%16OC8C%17C%18C14.c16ccccc19.c17ccccc1%10.c15ccccc1.c19ccccc1.c1%10ccccc1.C3%13=O.C%11%14=O.C%12%15=O.CO%16.C8O.O3%17.N%135.O%11%18.N%146.O%124.N%157
rhamnetin	BRD-K37206356	COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1	c14cc(O)c2c(=O)c(O)c5oc2c1.c15ccc(O)c(O)c1.CO4
clozapine	BRD-K37289225	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
kenpaullone	BRD-K37312348	O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1	O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1
hydrocotarnine	BRD-K37447567	COc1c2c(cc3c1OCO3)CCN(C)C2	c14c2c(cc3c1OCO3)CCN(C)C2.CO4
VU-0365114-2	BRD-K37456065	O=C1C(=O)N(Cc2ccc(-c3ccccc3)cc2)c2ccc(OC(F)(F)F)cc21	O=C1C(=O)N(C5)c2ccc4cc21.c15ccc6cc1.c16ccccc1.O4C(F)(F)F
idebenone	BRD-K37516142	COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O	COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
zardaverine	BRD-K37561857	COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F	c13cc5ccc14.c15ccc(=O)[nH]n1.O4C(F)F.CO3
MRS-1220	BRD-K37618799	O=C(Cc1ccccc1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12	c15nc2ccc(Cl)cc2c2nc7nn12.c16ccccc1.c17ccco1.O=C4C6.N45
hinokitiol	BRD-K37691127	CC(C)c1cccc(=O)c(O)c1	c12cccc(=O)c(O)c1.CC2C
SB-525334	BRD-K37720887	Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3nccnc3c2)n1	c16ccc2nccnc2c1.Cc1cccc5n1.c15[nH]c4nc16.C4(C)(C)C
denbufylline	BRD-K37792168	CCCCn1c(=O)c2c(ncn2CC(C)=O)n(CCCC)c1=O	n13c(=O)c2c(ncn24)n5c1=O.CCCC3.C4C(C)=O.C5CCC
etoposide	BRD-K37798499	COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O	c17cc(C2c3cc4c(cc3C(O6)C3COC(=O)C23)OCO4)cc8c1O.C16OC2COC(C)OC2C(O)C1O.CO7.O8C
acepromazine	BRD-K37814297	CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2	c15ccc2c(c1)N3c1ccccc1S2.C3CC4.CC5=O.N4(C)C
3,3'-diindolylmethane	BRD-K37846922	c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1	c1ccc2c5c[nH]c2c1.c16c[nH]c2ccccc12.C56
ceforanide	BRD-K37848908	NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12	C16C(=O)N2C(C(=O)O)=C(C5)CSC12.c18ccccc19.c1%10nnnn17.C9C4=O.C7C(=O)O.NC8.N46.S5%10
LY-2183240	BRD-K37865504	CN(C)C(=O)n1nnnc1Cc1ccc(-c2ccccc2)cc1	C3(=O)n1nnnc14.c15ccc6cc1.c16ccccc1.CN3C.C45
paroxetine	BRD-K37991163	Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1	c15ccc2c(c1)OCO2.Fc1ccc7cc1.C17CCNCC16.C46.O45
clocortolone-pivalate	BRD-K38003476	CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1C(=O)COC(=O)C(C)(C)C	CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C17.C5(=O)C(C)(C)C.C7(=O)C6.O56
etamivan	BRD-K38055836	CCN(CC)C(=O)c1ccc(O)c(OC)c1	c16ccc(O)c3c1.N245.C26=O.CC4.C5C.O3C
bumetanide	BRD-K38197229	CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1	c15cc6cc(S(N)(=O)=O)c12.c13ccccc1.CCCC4.C6(=O)O.N45.O23
paxilline	BRD-K38251852	CC(C)(O)C1OC2CCC3(C)C(O)(CCC4Cc5c([nH]c6ccccc56)C43C)C2=CC1=O	C17OC2CCC3(C)C(O)(CCC4Cc5c([nH]c6ccccc56)C43C)C2=CC1=O.CC7(C)O
domperidone	BRD-K38305202	O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1	n16c(=O)[nH]c2cc(Cl)ccc21.O=c1[nH]c2ccccc2n15.N14CCC6CC1.C5CC4
phenacetin	BRD-K38323065	CCOc1ccc(NC(C)=O)cc1	c14ccc5cc1.C2(C)=O.CC3.O34.N25
imipramine	BRD-K38436528	CN(C)CCCN1c2ccccc2CCc2ccccc21	N14c2ccccc2CCc2ccccc21.C3CC4.CN3C
seneciphylline	BRD-K38449220	C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23	C=C1CC=4C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23.C=4C
malonoben	BRD-K38477985	[C-]#[N+]C(C#N)=Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	C=2c1cc3c(O)c4c1.[C-]#[N+]C=2C#N.C3(C)(C)C.C4(C)(C)C
A-443644	BRD-K38615104	Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)cc12	Cc1n[nH]c2ccc9cc12.c18c[nH]c2ccccc12.c19cncc7c1.C6C(N)C8.O67
